valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	2585.79199219	1.0	1.0	350.040985107	1.0	1.0	7.21999979019	2.86321680015	0.110306784511	-0.574431359768	0.81108635664	12.8868893495	4.27400949908	-45.2364501953	-59.5443000793	-19.354549408	0.761404092147	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	8504.1328125	12.0	8.0	886.590698242	5.0	4.0	116.320001304	0.0	0.0584629699588	0.987321436405	-0.147575214505	44.2327383983	13.8630532304	-58.3302993774	-43.9403991699	-15.1179504395	0.917176675246	12.0	3.18000006676	93.4958162457	5.0	14.279999733	0.985383378696	1.0	1
1.0	2397.04370117	3.0	1.0	285.658294678	1.0	1.0	0.0	1.76706252192	0.352795213461	0.106870397925	0.929577469826	39.1500753761	0.0	-37.5750999451	-57.5279502869	-28.9563999176	0.291437197957	0.0	0.0	0.0	0.0	0.0	0.301419847178	1.0	1
1.0	9322.74609375	11.0	2.0	774.827819824	3.0	2.0	82.3199998736	0.0	0.0419191271067	0.131157249212	0.990474939346	38.5366980846	0.0	-36.1484527588	-56.9963493347	-31.3408508301	0.473435489299	6.0	12.6000003815	32.7386158854	3.0	14.279999733	0.999218100441	1.0	1
1.0	4225.20458984	6.0	3.0	454.015014648	3.0	3.0	64.9600009918	0.0	0.997893154621	-0.0560521371663	-0.032670468092	4.8606524305	0.0	-36.7243995667	-63.1423492432	-22.1717987061	0.598091332136	3.0	3.18000006676	25.426799655	4.0	15.1999998093	0.830400398973	1.0	1
1.0	5537.13378906	5.0	3.0	730.019287109	3.0	3.0	60.3000003099	0.0	-0.691317141056	0.718405246735	-0.0772952437401	31.5446652808	1.33643527437	-38.587852478	-57.2147521973	-30.4593505859	0.896437767562	6.0	9.61999988556	55.1786173731	2.0	14.279999733	0.992297705342	1.0	1
1.0	3395.39135742	3.0	1.0	350.040985107	1.0	1.0	7.21999979019	2.86321680015	0.110306784511	-0.574431359768	0.81108635664	12.8868893495	4.27400949908	-45.2364501953	-59.5443000793	-19.354549408	0.761404092147	0.0	0.0	0.0	0.0	0.0	0.271184789066	1.0	1
1.0	2574.52856445	6.0	2.0	1008.96728516	3.0	3.0	56.0400002003	0.0	0.997890472412	-0.0560426227748	-0.0327684432268	22.3612824463	14.5723022656	-42.4563522339	-63.1355514526	-17.4420509338	0.724113852449	0.0	0.0	0.0	1.0	9.19999980927	0.696281291468	1.0	1
1.0	5669.80371094	5.0	3.0	1783.98950195	4.0	4.0	87.7599995732	0.0	0.0419191271067	0.131157249212	0.990474939346	35.7842330461	0.0	-36.1484527588	-56.9963493347	-31.3408508301	0.473435489299	14.0	2.92000007629	115.230801225	7.0	15.1999998093	0.983462587046	1.0	1
1.0	2484.80078125	1.0	1.0	345.302001953	1.0	1.0	8.85999965668	1.71894155649	-0.750872910023	-0.295293360949	0.590755224228	8.14755418023	0.0	-33.098400116	-63.3452529907	-19.7330513	0.29342210683	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	6895.49951172	15.0	10.0	1861.59753418	4.0	4.0	150.166400362	0.0	0.105037294328	0.99255669117	0.0616309456527	57.3680965891	0.0	-53.1239509583	-42.9892997742	-30.5734996796	0.878756937203	9.0	1.05999994278	67.220000267	4.0	8.31999969482	0.999991366702	1.0	1
1.0	8156.01318359	11.0	6.0	1241.93847656	4.0	4.0	89.220000267	0.0	0.995600342751	-0.0935385897756	0.00551718613133	53.3007466997	2.10326077529	-52.6717987061	-42.6535491943	-6.83929491043	0.797479803705	6.0	1.05999994278	53.1000003815	4.0	11.0600004196	0.999988762047	1.0	1
1.0	6184.4140625	14.0	5.0	1095.6394043	6.0	6.0	80.4199995995	0.0	-0.995591282845	0.0936355441809	-0.00550807965919	29.882387201	0.0	-28.5809001923	-65.4773025513	-15.2525997162	0.24166821918	5.0	5.19999980927	47.0799999237	5.0	15.1599998474	0.999450951947	1.0	1
1.0	4538.02392578	4.0	2.0	1035.0423584	5.0	5.0	41.4863993414	0.0	0.105037294328	0.99255669117	0.0616309456527	35.7850522276	0.0	-53.1239509583	-42.9892997742	-30.5734996796	0.878756937203	6.0	4.44000005722	63.240000248	5.0	15.9600000381	0.995047524431	1.0	1
1.0	4981.11621094	6.0	3.0	1045.61706543	5.0	4.0	75.0863999613	0.0	0.995591282845	-0.0936355441809	0.00550807965919	22.8326459897	3.92810896917	-28.5809001923	-65.4773025513	-15.2525997162	0.935181170878	5.0	3.44000005722	50.4000003338	4.0	15.9600000381	0.996833768421	1.0	1
1.0	4192.72314453	12.0	5.0	1760.24841309	3.0	3.0	60.2264000662	0.0	0.105037294328	0.99255669117	0.0616309456527	48.7067509809	0.0	-53.1239509583	-42.9892997742	-30.5734996796	0.878756937203	3.0	5.69999980927	16.6399998665	2.0	15.1599998474	0.994981975854	1.0	1
1.0	3079.71044922	8.0	4.0	1716.57507324	3.0	2.0	11.5463999994	0.0	-0.995591282845	0.0936355441809	-0.00550807965919	37.2331393796	1.43869611864	-35.1535987854	-58.2014007568	-29.4734992981	0.485281450058	3.0	5.69999980927	17.759999752	2.0	11.8800001144	0.837544716468	1.0	1
1.0	5417.63037109	8.0	4.0	1808.1940918	5.0	4.0	108.046399284	0.0	0.105037294328	0.99255669117	0.0616309456527	48.7067509809	0.0	-53.1239509583	-42.9892997742	-30.5734996796	0.878756937203	8.0	3.44000005722	86.7600009441	5.0	15.9600000381	0.999313063827	1.0	1
1.0	3671.79589844	1.0	1.0	755.112976074	1.0	1.0	35.1400003433	0.0	-0.0334178879857	-0.984706640244	0.170985549688	10.0066186525	0.0	-46.0761489868	-60.8293533325	-14.0662002563	0.862014464935	1.0	10.3000001907	11.3800001144	1.0	10.3000001907	-1.0	0.0	1
1.0	9433.27539062	8.0	2.0	1592.04321289	5.0	4.0	130.560000896	0.0	0.999347925186	-0.0346042215824	-0.0103100752458	39.2914131975	20.799476889	-55.1409492493	-49.7666015625	-6.78036975861	0.0178401901922	9.0	3.96000003815	74.0600008965	3.0	10.3000001907	0.997435143434	1.0	1
1.0	5947.71484375	6.0	1.0	755.112976074	1.0	1.0	35.1400003433	0.0	-0.0334178879857	-0.984706640244	0.170985549688	34.8552167076	0.0	-46.0761489868	-60.8293533325	-14.0662002563	0.862014464935	1.0	10.3000001907	11.3800001144	1.0	10.3000001907	0.324064321745	1.0	1
1.0	12392.328125	8.0	5.0	2009.09521484	5.0	5.0	212.539999485	0.0	-0.0334178842604	-0.984706521034	0.170986384153	58.0014683462	2.47766254479	-53.4128494263	-41.198348999	-31.8297996521	0.337796277894	18.0	3.96000003815	162.559999943	5.0	12.3199996948	0.999999963686	1.0	1
1.0	5042.11328125	7.0	5.0	2149.54150391	3.0	3.0	145.159999847	0.0	-0.0334208495915	-0.984704077244	0.170999839902	34.4464075745	13.9863245105	-54.5886535645	-46.6827011108	-18.1869010925	0.526622632423	10.0	2.09999990463	103.079999447	3.0	12.9200000763	0.967818256899	1.0	1
1.0	4221.83642578	7.0	4.0	2122.2409668	2.0	2.0	130.620000362	0.0	0.999347686768	-0.0346106812358	-0.0103114107624	15.3312119242	30.6275729475	-38.917301178	-66.9560012817	-5.87990999222	0.581310683932	11.0	3.96000003815	90.560000062	3.0	12.9200000763	0.979052181646	1.0	1
1.0	3781.12109375	5.0	1.0	1405.05895996	3.0	3.0	59.8800001144	0.0	0.999347805977	-0.0346076227725	-0.0103100733832	2.86488467038	27.4762458488	-41.1502494812	-66.089302063	-7.80412960052	0.698082975118	12.0	10.3000001907	125.120000839	2.0	11.1999998093	0.603561679592	1.0	1
1.0	1193.5736084	3.0	2.0	549.170043945	1.0	1.0	26.3799996376	0.0	0.0334178879857	0.984706640244	-0.170985549688	10.0290345919	14.069705855	-55.6958465576	-47.9237518311	-12.5221996307	0.323545862127	2.0	6.65999984741	14.3399996758	1.0	6.65999984741	0.96864252917	1.0	1
1.0	5693.78808594	6.0	2.0	1760.62304688	3.0	3.0	128.079999924	0.0	0.999347686768	-0.0346106812358	-0.0103114107624	27.7080237057	30.6275729475	-38.917301178	-66.9560012817	-5.87990999222	0.581310683932	7.0	2.09999990463	67.2000007629	1.0	10.3000001907	0.985846626498	1.0	1
1.0	3966.89257812	6.0	3.0	2191.23510742	5.0	4.0	82.4200005531	0.0	0.999347925186	-0.0346042215824	-0.0103100752458	25.8681642112	20.799476889	-55.1409492493	-49.7666015625	-6.78036975861	0.0178401901922	10.0	2.09999990463	73.9199992418	3.0	9.61999988556	0.97932369204	1.0	1
1.0	3171.45385742	1.0	0.0	271.789001465	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0126026522244	0.0	1
1.0	9527.75585938	9.0	3.0	1082.75732422	7.0	7.0	171.396399021	0.0	0.046194318682	0.99374961853	-0.101625815034	53.2171155975	10.1551572605	-58.573600769	-42.4132499695	-14.3565006256	0.801122252879	13.0	4.07999992371	87.199598074	6.0	15.8199996948	0.999990875159	1.0	1
1.0	5848.38085938	3.0	1.0	325.950500488	2.0	2.0	18.3599998951	0.0	0.998023092747	-0.0332690142095	0.0533209592104	11.5068573458	3.67249608026	-24.2663497925	-69.4999542236	-11.2528495789	0.179313968397	1.0	8.65999984741	10.0	1.0	8.65999984741	0.755708440429	1.0	1
1.0	7147.42431641	9.0	5.0	443.160095215	3.0	3.0	76.1764006615	0.0	-0.99802595377	0.0331812277436	-0.0533221364021	35.5732443464	19.9466196038	-38.2474517822	-63.5597991943	-19.7849502563	0.79315025804	3.0	9.65999984741	18.279999733	1.0	9.76000022888	0.97644426767	1.0	1
1.0	2577.27099609	5.0	0.0	79.3880004883	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0126026522244	1.0	1
1.0	3566.72753906	10.0	3.0	1706.31628418	5.0	3.0	44.5928000621	0.0	0.998022973537	-0.0332725085318	0.0533202886581	26.1046607839	1.12712534215	-54.2996520996	-43.6634521484	-21.2249488831	0.708850535672	4.0	7.67999982834	27.2399992943	2.0	17.7600002289	0.968804931641	1.0	1
1.0	3171.45385742	1.0	1.0	861.07598877	2.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	16.8199996948	10.5600004196	1.0	16.8199996948	0.120697713213	1.0	1
1.0	6726.61816406	11.0	7.0	1910.70166016	4.0	4.0	139.116399687	0.0	0.99802595377	-0.0331811159849	0.0533219575882	11.7353922085	4.19320924824	-17.852350235	-67.7582015991	-24.097650528	0.9006722298	13.0	6.38000011444	101.879598379	7.0	15.8199996948	0.999718931532	1.0	1
1.0	2271.48608398	2.0	2.0	1171.75708008	2.0	1.0	27.3400006294	0.0	0.0461898557842	0.993751108646	-0.1016131863	5.57343179609	17.8217077241	-34.5280990601	-59.1964988708	-33.0384979248	0.266643156215	2.0	7.36000013351	19.6199998856	1.0	13.0200004578	0.380617019521	1.0	1
1.0	3290.09106445	11.0	7.0	2327.60961914	4.0	4.0	142.59639883	0.0	-0.0461943224072	-0.993749678135	0.101624883711	37.0994224495	2.03501915626	-58.7209014893	-36.4021492004	-27.9753990173	0.51737433364	9.0	6.38000011444	83.7195985317	6.0	22.5	0.979644886474	1.0	1
1.0	2941.84594727	1.0	1.0	559.944519043	1.0	1.0	15.6000003815	0.0	-0.733187794685	-0.670669853687	0.112417191267	0.0	13.6199960355	-40.2262001038	-60.3366012573	-12.1346492767	0.45406840156	4.0	10.2600002289	28.3600003719	0.0	12.1800003052	-1.0	0.0	1
1.0	6669.19433594	12.0	3.0	1326.23498535	4.0	3.0	23.9600006342	2.27985307956	0.281642735004	-0.752022922039	0.595935285091	57.8068475971	8.31319255447	-50.0661506653	-46.5237007141	-30.0625495911	0.687834673763	0.0	0.0	0.0	0.0	0.0	0.999986183876	1.0	1
1.0	5462.54003906	9.0	2.0	515.740478516	3.0	3.0	30.1400003433	0.0	-0.733187794685	-0.670669853687	0.112417191267	37.2492223136	16.4180600377	-40.2262001038	-60.3366012573	-12.1346492767	0.45406840156	2.0	10.2600002289	15.6599998474	0.0	12.1800003052	0.797301723671	1.0	1
