valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	200.293609619	2.0	2.0	1938.87304688	3.0	3.0	65.7600002289	2.71302965328	0.231493383646	-0.823017537594	0.51870316267	4.18591492398	23.9733528816	-24.0320510864	-36.1604995728	-61.1258506775	0.451852498014	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2822.00439453	11.0	11.0	6658.72265625	13.0	8.0	276.16000098	0.0	-0.997892260551	0.0560102201998	0.0327697508037	37.0170021445	29.305093436	-35.6763000488	9.05588912964	-70.2947540283	0.055000799058	2.0	9.73999977112	21.2600002289	2.0	11.2399997711	0.966648349023	1.0	1
1.0	2157.85571289	10.0	9.0	6978.33496094	14.0	10.0	323.309599996	0.0	0.997895479202	-0.0559511147439	-0.0327738150954	19.9182417882	38.137637622	-22.2439002991	-54.2061004639	-46.5575485229	0.00184677052008	6.0	7.65999984741	57.8200016022	4.0	14.279999733	0.983098512767	1.0	1
1.0	918.838012695	4.0	4.0	3615.46679688	8.0	4.0	97.5	0.0	-0.997895479202	0.0559511147439	0.0327738150954	12.9385483707	31.3454603794	-22.2439002991	-54.2061004639	-46.5575485229	0.00184677052008	1.0	7.65999984741	6.44000005722	0.0	7.65999984741	0.986893238767	1.0	1
1.0	91.4945983887	1.0	1.0	1486.60803223	3.0	1.0	23.6599998474	2.85647853213	-0.545376718044	0.834034085274	0.0833749547601	1.95892772649	24.264694387	-16.9032001495	-17.8646507263	-73.8493499756	0.393582585635	0.0	0.0	0.0	0.0	0.0	0.340800102766	1.0	1
1.0	772.112609863	3.0	2.0	1367.05395508	2.0	2.0	45.8999996185	2.85647853213	-0.545376718044	0.834034085274	0.0833749547601	1.95892772649	28.6345202122	-16.9032001495	-17.8646507263	-73.8493499756	0.393582585635	0.0	0.0	0.0	0.0	0.0	0.180973037967	1.0	1
1.0	91.4945983887	1.0	1.0	2047.67199707	4.0	3.0	62.0399990082	2.72170903327	-0.189831063151	-0.970214366913	0.150493174791	5.00397198695	33.6181334167	-21.1499004364	-27.1812000275	-65.561706543	0.902219312732	0.0	0.0	0.0	0.0	0.0	0.0584896542267	1.0	1
1.0	1233.74902344	5.0	2.0	667.227478027	2.0	2.0	55.3800001144	0.0	-0.997895479202	0.0559511147439	0.0327738150954	12.9385483707	12.1159290999	-22.2439002991	-54.2061004639	-46.5575485229	0.00184677052008	1.0	7.65999984741	6.44000005722	0.0	7.65999984741	0.970915568823	1.0	1
1.0	339.080993652	2.0	2.0	3274.00561523	1.0	1.0	78.4599990845	2.73076727331	-0.63697630167	-0.63049530983	0.44355031848	20.6421476018	21.9676470496	-24.6098995209	-5.70313501358	-73.5746994019	0.798122464859	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2056.10058594	5.0	3.0	3758.94580078	10.0	5.0	27.6199996471	0.0	-0.105046205223	-0.992555379868	-0.061637300998	30.1533789538	44.9182935148	-28.5914497375	-42.2757492065	-52.1382980347	0.680081374142	2.0	7.40000009537	12.220000267	0.0	12.6999998093	0.996916042409	1.0	1
1.0	719.440979004	3.0	3.0	2651.3137207	2.0	2.0	111.059999466	0.0	-0.995600402355	0.0935387611389	-0.00550995115191	0.0	14.6021311383	-24.8348007202	-41.9597473145	-55.7240982056	0.888012550914	3.0	8.96000003815	39.5799999237	1.0	8.96000003815	0.727243352119	1.0	1
1.0	3023.21875	8.0	7.0	8139.36669922	15.0	10.0	271.839998484	0.0	-0.995591461658	0.0936340913177	-0.00550628919154	4.17287139055	14.8277223027	-35.0738983154	20.5759010315	-70.2685012817	0.414886890534	8.0	7.40000009537	85.4800000191	3.0	11.8800001144	0.999531270834	1.0	1
1.0	1334.44580078	2.0	1.0	804.065979004	3.0	1.0	15.1999998093	0.0	-0.105046235025	-0.992555618286	-0.0616334751248	32.1021733729	0.99289182721	-18.8876495361	-21.4283504486	-68.99659729	0.360642993185	2.0	14.779999733	30.9600000381	0.0	16.3600006104	0.483347957083	1.0	1
1.0	2190.88793945	3.0	3.0	3514.94042969	13.0	9.0	161.619999886	0.0	-0.995591580868	0.0936328545213	-0.00550627009943	1.43869932776	13.0562471973	-30.6308002472	12.3670005798	-74.3657989502	0.735175099181	4.0	3.90000009537	38.8400006294	2.0	5.30000019073	0.980881144059	1.0	1
1.0	693.603027344	4.0	4.0	6131.33154297	9.0	6.0	197.779999256	1.45122707668	-0.995595753193	0.0935853347182	-0.00555610843003	15.5244477848	11.3107930367	-20.5597991943	-65.4595489502	-31.5747489929	0.74740888241	0.0	0.0	0.0	0.0	0.0	0.564493804485	1.0	1
1.0	2211.56665039	6.0	6.0	4544.19677734	9.0	9.0	226.119997263	0.0	-0.105046235025	-0.992555618286	-0.0616334751248	37.5649200181	45.6130798184	-18.8876495361	-21.4283504486	-68.99659729	0.360642993185	3.0	14.779999733	45.720000267	1.0	18.5400009155	0.996956369955	1.0	1
1.0	2089.50830078	2.0	2.0	2073.25610352	5.0	5.0	93.2799983025	2.5641431425	-0.959408283234	0.0771470591426	0.271263897419	14.3444566609	30.8902617388	-34.6510505676	-0.408832490444	-70.6298522949	0.600854569378	0.0	0.0	0.0	0.0	0.0	0.833565397385	1.0	1
1.0	1085.56774902	5.0	5.0	3544.07861328	11.0	6.0	76.7199997902	0.0	-0.995591461658	0.0936340913177	-0.00550628919154	25.136036143	2.97333725885	-35.0738983154	20.5759010315	-70.2685012817	0.414886890534	2.0	5.30000019073	19.9000000954	1.0	5.30000019073	0.968642560629	1.0	1
1.0	47.8989982605	1.0	1.0	1530.73608398	2.0	1.0	30.1400003433	2.65481070625	-0.954935252666	-0.0788931176066	0.286137312651	4.41655756339	0.0	-25.5751991272	-3.36837005615	-74.1399536133	0.806495176039	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3016.0690918	7.0	6.0	6756.75146484	12.0	9.0	280.269601241	0.0	0.999347388744	-0.0346338562667	-0.0102584809065	47.8279064448	24.5337070119	-4.70909023285	-5.84807491302	-55.0397491455	0.145260887161	10.0	5.98000001907	102.820001125	2.0	7.17999982834	0.99885154974	1.0	1
1.0	918.491760254	6.0	5.0	7352.65966797	13.0	6.0	76.1199989319	0.0	0.0334193296731	0.984704554081	-0.170997232199	4.33591458637	41.7486132111	-35.3280487061	5.33737468719	-70.9613952637	0.41277351283	3.0	7.17999982834	39.1400008202	2.0	11.4799995422	0.845243584846	1.0	1
1.0	1394.5579834	6.0	3.0	5018.60888672	9.0	4.0	61.2799998522	0.0	-0.999346196651	0.0346429571509	0.0103469323367	39.5106314388	21.0703141079	-4.43492031097	3.3407201767	-60.2562026978	0.106840897084	4.0	5.98000001907	41.1600003242	1.0	5.98000001907	0.965663090043	1.0	1
1.0	846.574951172	2.0	2.0	732.059997559	2.0	2.0	42.4000000954	0.0	-0.0334196016192	-0.984707057476	0.17098288238	11.5247988234	20.1680876629	-31.4448509216	-13.0029506683	-66.039100647	0.447719864639	1.0	11.8999996185	11.6199998856	0.0	11.8999996185	0.144011350077	1.0	1
1.0	742.698974609	3.0	2.0	2245.98046875	5.0	2.0	35.220000267	0.0	0.0334208868444	0.984704315662	-0.170998305082	20.8705830212	20.6442063502	-31.4158496857	-12.70470047	-64.2806015015	0.461837350604	1.0	8.31999969482	7.13999986649	0.0	8.31999969482	0.998154637126	1.0	1
1.0	587.924987793	2.0	2.0	990.709960938	3.0	2.0	44.2600007057	0.0	-0.0334203466773	-0.984689235687	0.171085357666	2.47549802823	29.6074132465	-19.7028503418	-30.0370006561	-65.0924530029	0.615670576472	2.0	11.6000003815	21.7600002289	0.0	11.8999996185	0.20786366289	1.0	1
1.0	633.323974609	3.0	1.0	735.264526367	2.0	1.0	6.63999986649	0.0	-0.999347448349	0.0346072688699	0.0103471344337	30.9000856017	12.8388559022	-35.361000061	-50.2045974731	-45.0501022339	0.412015359851	1.0	5.98000001907	4.48000001907	1.0	5.98000001907	0.993029759966	1.0	1
1.0	234.401000977	2.0	2.0	3577.19873047	5.0	2.0	64.4600007534	2.65481070625	-0.954935252666	-0.0788931176066	0.286137312651	4.41655756339	15.2270033744	-25.5751991272	-3.36837005615	-74.1399536133	0.806495176039	0.0	0.0	0.0	0.0	0.0	0.468048135678	1.0	1
1.0	1109.63598633	6.0	4.0	1835.49279785	4.0	4.0	101.120001793	2.59233486683	-0.199679717422	-0.964947164059	0.170308530331	31.4731994033	5.04517197601	-5.10189008713	-50.4639968872	-47.309551239	0.870616172442	0.0	0.0	0.0	0.0	0.0	0.991054554147	1.0	1
1.0	85.6724014282	1.0	1.0	2039.70898438	2.0	1.0	25.2000007629	2.63746092347	0.444584876299	-0.888310074806	0.115106366575	2.31878516274	0.0	-23.1290016174	7.55908966064	-78.3999481201	0.585257360289	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2276.02539062	6.0	6.0	9748.9453125	16.0	14.0	300.066799983	0.0	0.0461943224072	0.993749678135	-0.101624883711	6.32253282181	14.7144219465	-20.8791999817	-68.9358520508	-21.2405014038	0.388451381837	13.0	1.12000000477	101.139999866	6.0	19.7800006866	0.988062533679	1.0	1
1.0	273.500396729	2.0	2.0	3217.11181641	11.0	3.0	76.9351994991	0.0	-0.998029172421	0.033222656697	-0.0532354041934	2.0709221623	40.3118196639	0.449582993984	-0.00411984976381	-60.5635986328	0.448757606702	3.0	8.23999977112	30.720000267	1.0	8.23999977112	0.0736946510533	1.0	1
1.0	2840.3293457	9.0	8.0	6959.03662109	13.0	10.0	144.386800155	0.0	0.0461869947612	0.993751227856	-0.101613201201	2.51045891488	23.0439485577	0.778594970703	20.8659000397	-61.2874984741	0.492460304872	9.0	1.12000000477	86.860001564	4.0	19.7800006866	0.999656579912	1.0	1
1.0	686.875427246	2.0	2.0	1438.50598145	2.0	2.0	56.8000011444	0.0	0.0461879707873	0.993750810623	-0.10161690414	26.9780070438	9.65214257442	-17.2663993835	-34.7139015198	-62.145401001	0.822835342539	1.0	6.38000011444	6.30000019073	0.0	6.38000011444	0.362436048294	1.0	1
1.0	1285.45703125	6.0	2.0	1972.70043945	5.0	4.0	56.3399982452	3.47966951555	-0.0323487780988	0.891302406788	-0.452253848314	50.8418384844	29.4399012164	1.08879995346	-6.30724287033	-56.2660522461	0.927166467937	0.0	0.0	0.0	0.0	0.0	0.9661051667	1.0	1
1.0	1176.47302246	2.0	2.0	1095.96533203	3.0	3.0	83.6600008011	0.0	0.0461879707873	0.993750810623	-0.10161690414	31.5099788013	9.65214257442	-17.2663993835	-34.7139015198	-62.145401001	0.822835342539	2.0	1.44000005722	7.82000017166	0.0	6.38000011444	0.766794061678	1.0	1
1.0	474.92199707	4.0	2.0	1586.06298828	6.0	3.0	22.2199993134	3.47966951555	-0.0323487780988	0.891302406788	-0.452253848314	41.4463474306	35.9936904552	1.08879995346	-6.30724287033	-56.2660522461	0.927166467937	0.0	0.0	0.0	0.0	0.0	0.999518750759	1.0	1
1.0	1203.89941406	3.0	3.0	2240.39404297	5.0	5.0	132.240000725	0.0	-0.0461879707873	-0.993750810623	0.10161690414	38.2975306442	31.5099788013	-17.2663993835	-34.7139015198	-62.145401001	0.822835342539	1.0	6.38000011444	6.30000019073	0.0	6.38000011444	0.843731196529	1.0	1
1.0	2274.10888672	5.0	3.0	2636.50952148	10.0	7.0	129.159998417	0.0	0.0461916662753	0.993750214577	-0.101620920002	14.8015388105	20.7225719559	-35.2519989014	7.93762969971	-73.2747039795	0.0743120412688	2.0	1.44000005722	22.0400004387	2.0	19.7800006866	0.972747294731	1.0	1
1.0	331.391998291	2.0	1.0	3191.64916992	2.0	1.0	38.4000015259	3.20463727282	-0.83993345499	0.409843087196	0.355725169182	22.6714850758	5.42295399682	-32.3436508179	2.4863884449	-69.4071044922	0.930077199778	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	361.248504639	3.0	0.0	1371.84204102	6.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.495124997604	1.0	1
1.0	1677.80493164	2.0	2.0	464.491790771	3.0	2.0	14.279999733	2.35659080085	-0.464480280876	0.7038423419	-0.537460684776	15.1141653252	10.0069925925	-29.2458496094	-53.0623016357	-40.8590011597	0.221981754218	0.0	0.0	0.0	0.0	0.0	0.763881458951	1.0	1
1.0	838.752685547	6.0	4.0	2593.15698242	10.0	3.0	105.479999781	0.0	0.00611928431317	-0.998390972614	0.056373976171	11.1968593812	41.7260672041	-3.77353000641	-46.0163002014	-34.7682495117	0.821350421364	2.0	4.48000001907	14.6599998474	0.0	8.23999977112	0.999145832275	1.0	1
1.0	818.820861816	6.0	6.0	4395.82128906	11.0	7.0	206.876401424	0.0	-0.994935870171	0.0	0.100511670113	2.24245637082	17.3253325398	-29.7724990845	11.543800354	-71.6952514648	0.399142008634	5.0	4.38000011444	52.6199998856	1.0	8.46000003815	0.929776505381	1.0	1
1.0	426.677612305	4.0	4.0	3458.19995117	7.0	5.0	106.534401208	0.0	-0.994934976101	0.0	0.100520342588	30.4959141684	42.9100502806	-32.0554504395	-29.6844997406	-61.5544509888	0.0671797561122	1.0	12.4200000763	11.779999733	1.0	6.42000007629	0.997988809062	1.0	1
