valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	1938.87304688	3.0	1.0	379.483001709	1.0	1.0	21.0	4.09856079707	0.725445568562	0.572781264782	-0.381641685963	13.0272751943	2.01033740557	-21.9887008667	3.05418491364	-75.21875	0.0225414536294	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	11446.6474609	20.0	4.0	789.288085938	3.0	2.0	124.820001602	1.95024610825	-0.313351750374	-0.937594413757	0.150756210089	18.1534519232	5.2600183352	-3.60524988174	16.4188499451	-65.2023010254	0.237260857146	0.0	0.0	0.0	0.0	0.0	0.999999069332	1.0	1
1.0	5221.16943359	16.0	2.0	516.479125977	3.0	1.0	17.6800000668	2.41066169076	-0.237143516541	-0.713945627213	-0.658820569515	51.6049823493	3.7131401156	-3.66862487793	-1.64368700981	-61.7938995361	0.846668595899	0.0	0.0	0.0	0.0	0.0	0.9806012091	1.0	1
1.0	10082.8232422	20.0	6.0	1431.26818848	5.0	4.0	188.980001211	0.0	0.997892260551	-0.0560102201998	-0.0327697508037	29.305093436	28.6345202122	-35.6763000488	9.05588912964	-70.2947540283	0.055000799058	1.0	9.73999977112	8.52000045776	1.0	9.73999977112	0.999963842071	1.0	1
1.0	5843.18554688	9.0	3.0	510.201507568	3.0	3.0	88.1000003815	2.41066169076	-0.237143516541	-0.713945627213	-0.658820569515	31.4547499999	3.7131401156	-3.66862487793	-1.64368700981	-61.7938995361	0.846668595899	0.0	0.0	0.0	0.0	0.0	0.992734184348	1.0	1
1.0	2600.94433594	5.0	1.0	379.483001709	1.0	1.0	21.0	4.09856079707	0.725445568562	0.572781264782	-0.381641685963	13.0272751943	2.01033740557	-21.9887008667	3.05418491364	-75.21875	0.0225414536294	0.0	0.0	0.0	0.0	0.0	0.445786154496	1.0	1
1.0	5867.22998047	10.0	4.0	486.157012939	2.0	2.0	105.020000219	1.95024610825	-0.313351750374	-0.937594413757	0.150756210089	18.1534519232	19.5383160002	-3.60524988174	16.4188499451	-65.2023010254	0.237260857146	0.0	0.0	0.0	0.0	0.0	0.988668005584	1.0	1
1.0	2269.39453125	4.0	1.0	379.483001709	1.0	1.0	21.0	4.09856079707	0.725445568562	0.572781264782	-0.381641685963	13.0272751943	2.01033740557	-21.9887008667	3.05418491364	-75.21875	0.0225414536294	0.0	0.0	0.0	0.0	0.0	0.134589879111	1.0	1
1.0	3274.00561523	1.0	0.0	281.317993164	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.3221479843e-08	0.0	1
1.0	9639.80175781	14.0	2.0	1035.63195801	2.0	1.0	25.0200006962	0.0	-0.995591580868	0.0936328545213	-0.00550627009943	25.1095603548	6.47580814395	-30.6308002472	12.3670005798	-74.3657989502	0.735175099181	1.0	3.90000009537	4.42000007629	1.0	3.90000009537	0.999973173046	1.0	1
