valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	118.064002991	1.0	1.0	1746.42651367	1.0	1.0	0.0	4.13702789102	-0.158709019423	0.791225552559	0.590570569038	0.0	4.01687303365	-13.2112503052	75.2252044678	-68.9613037109	0.167558418582	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	1376.87756348	4.0	2.0	2341.95605469	6.0	2.0	14.2236001492	0.0	-0.997889995575	0.0560491904616	0.0327719524503	2.00632833956	21.0396468975	-1.68191504478	73.8163528442	-30.2675495148	0.940127270455	2.0	3.92000007629	22.9600000381	2.0	15.7600002289	0.975007742675	1.0	1
1.0	470.42098999	2.0	2.0	2071.6953125	5.0	3.0	38.7199993134	3.08076449084	-0.346249580383	0.772648096085	0.532096028328	18.4427921688	3.06366429347	-15.513250351	72.0363464355	-72.8932037354	0.883810890248	1.0	5.55999994278	0.0	0.0	5.55999994278	0.294750452752	1.0	1
1.0	693.211791992	3.0	3.0	2578.12207031	5.0	4.0	51.6323998868	0.0	-0.997889995575	0.0560491904616	0.0327719524503	2.00632833956	36.3932242846	-1.68191504478	73.8163528442	-30.2675495148	0.940127270455	4.0	3.92000007629	43.9600000381	2.0	13.9799995422	0.976582420423	1.0	1
1.0	833.71697998	3.0	3.0	2783.76123047	3.0	2.0	29.0600001812	2.54652505354	0.0928775891662	-0.98562258482	0.141144990921	6.03538797124	29.7053226425	-1.05876207352	73.7593994141	-40.7740478516	0.504852687457	0.0	0.0	0.0	0.0	0.0	0.0657808745565	1.0	1
1.0	715.652954102	2.0	0.0	968.457580566	3.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.28628704774e-07	1.0	1
1.0	118.064002991	1.0	1.0	2122.75952148	2.0	2.0	28.0599994659	3.08076449084	-0.346249580383	0.772648096085	0.532096028328	2.45853872569	15.8505480153	-15.513250351	72.0363464355	-72.8932037354	0.883810890248	0.0	0.0	0.0	0.0	0.0	0.230033659038	1.0	1
1.0	57.0856018066	1.0	0.0	991.007019043	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.28628704774e-07	0.0	1
1.0	462.622680664	5.0	4.0	1992.20959473	5.0	4.0	31.0199999809	0.0	-0.105046629906	-0.992555558681	-0.0616337098181	15.7976689401	16.1858544917	-18.4014511108	73.1687469482	-65.0538024902	0.782141091455	2.0	12.4600000381	25.0199995041	1.0	16.5799999237	0.975184616229	1.0	1
1.0	2302.92016602	6.0	4.0	2292.21484375	4.0	2.0	36.1400003433	0.0	-0.995599925518	0.0935385450721	-0.00560050318018	24.3251422607	0.0	-27.9846000671	57.6465530396	-66.1071472168	0.699702016524	4.0	2.0	32.7399992943	1.0	2.0	0.905676303002	1.0	1
1.0	2075.2265625	5.0	5.0	2823.95385742	8.0	5.0	115.300001621	0.0	-0.995599925518	0.0935385450721	-0.00560050318018	24.3251422607	0.0	-27.9846000671	57.6465530396	-66.1071472168	0.699702016524	6.0	2.0	53.2399992943	1.0	2.0	0.977050276815	1.0	1
1.0	885.773376465	3.0	2.0	2667.19506836	4.0	2.0	25.6000003815	0.0	0.104935511947	0.992567420006	0.0616320855916	14.674612147	0.992976106889	-38.1838989258	77.1568984985	-46.7965011597	0.254910142868	2.0	2.0	11.9000000954	1.0	2.0	0.169727928957	1.0	1
1.0	57.0856018066	1.0	1.0	1264.53198242	2.0	1.0	17.0400009155	2.82365012875	0.4802711308	-0.512241303921	-0.712003171444	4.1150367991	7.24804394183	-29.3808994293	69.59324646	-62.6596984863	0.978888420882	0.0	0.0	0.0	0.0	0.0	0.23294812318	1.0	1
1.0	57.0856018066	1.0	1.0	1266.12597656	2.0	1.0	6.32000017166	3.41432283225	-0.412478804588	0.42889752984	0.80368411541	4.12109582634	0.0	-35.8317489624	74.1641540527	-51.5115966797	0.151928821443	0.0	0.0	0.0	0.0	0.0	0.0789369317724	1.0	1
1.0	317.143707275	2.0	0.0	87.1443023682	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.28628704774e-07	0.0	1
1.0	2128.94091797	3.0	1.0	2575.5234375	6.0	2.0	32.3199996948	0.0	0.03341884166	0.984705805779	-0.17099031806	15.5120418843	33.8621916888	-14.7493495941	77.2820510864	-65.6459960938	0.940793740355	3.0	10.0600004196	33.3999996185	0.0	16.4799995422	0.988672278065	1.0	1
1.0	476.147705078	3.0	0.0	198.309295654	2.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.28628704774e-07	1.0	1
1.0	3251.80981445	7.0	4.0	6109.52246094	6.0	4.0	177.435196877	0.0	0.0334302186966	0.984703540802	-0.171000882983	1.57274505069	31.1217182026	-8.43810462952	90.7499008179	-44.5426025391	0.227103988018	10.0	4.48000001907	107.159999132	5.0	24.5799999237	0.987583927368	1.0	1
1.0	2484.89257812	4.0	1.0	251.737304688	1.0	1.0	4.48000001907	0.0	0.0334302186966	0.984703540802	-0.171000882983	1.57274505069	1.12113440288	-8.43810462952	90.7499008179	-44.5426025391	0.227103988018	2.0	8.15999984741	23.9599990845	2.0	19.5200004578	0.263870005897	1.0	1
1.0	2572.03686523	4.0	1.0	1974.2130127	1.0	1.0	11.4952001572	0.0	0.0334302186966	0.984703540802	-0.171000882983	1.57274505069	4.21323340675	-8.43810462952	90.7499008179	-44.5426025391	0.227103988018	4.0	8.15999984741	52.6800005436	2.0	24.5799999237	0.527496410119	1.0	1
1.0	87.1443023682	1.0	1.0	2539.89208984	1.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	8.15999984741	33.6199991703	1.0	19.5200004578	0.207863667452	1.0	1
1.0	4842.99169922	5.0	3.0	5792.50537109	4.0	2.0	64.7599999905	0.0	-0.0461840257049	-0.993749976158	0.10162679106	28.058157705	26.4626661994	-7.4089050293	77.9206542969	-54.6809997559	0.814844849858	6.0	5.17999982834	49.451200366	3.0	15.3199996948	0.991903957051	1.0	1
1.0	2627.52001953	6.0	4.0	2675.68774414	9.0	2.0	44.9400000572	0.0	0.0461790934205	0.993741333485	-0.10171341151	28.6690827062	14.574538308	-9.61166572571	79.0066986084	-54.904548645	0.38893058544	4.0	6.94000005722	37.2708004713	1.0	6.94000005722	0.0316301942962	1.0	1
1.0	4488.07861328	5.0	4.0	5832.78515625	5.0	4.0	107.639999628	0.0	0.0461840257049	0.993749976158	-0.10162679106	27.1078234852	13.620581508	-7.4089050293	77.9206542969	-54.6809997559	0.814844849858	7.0	5.17999982834	70.9804000854	2.0	8.15999984741	0.970689816502	1.0	1
1.0	2555.23510742	3.0	3.0	3425.69995117	2.0	1.0	67.4000005722	0.0	0.0461790934205	0.993741333485	-0.10171341151	28.3893719958	14.574538308	-9.61166572571	79.0066986084	-54.904548645	0.38893058544	3.0	6.94000005722	31.6308006048	1.0	6.94000005722	0.67651351598	1.0	1
1.0	1330.65002441	1.0	1.0	1577.33898926	2.0	1.0	28.7599992752	2.81262333917	-0.29111918807	0.710605740547	0.640538156033	2.07089312848	9.25879530286	-18.1312999725	79.5811462402	-64.0453033447	0.809208361177	0.0	0.0	0.0	0.0	0.0	0.084175342706	1.0	1
1.0	117.04599762	1.0	1.0	89.1780014038	1.0	1.0	10.4200000763	3.05328352486	0.322734624147	0.58447676897	0.744465768337	0.0	5.01575597354	-25.4025497437	87.5892944336	-47.0136489868	0.806204533261	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	4312.17822266	3.0	3.0	5570.03613281	6.0	3.0	55.3800004721	0.0	0.994935870171	0.0	-0.100511580706	33.8021690858	31.2506559232	-13.7399997711	79.4160003662	-59.0582504272	0.0257975046094	1.0	7.44000005722	7.01999998093	0.0	7.44000005722	0.983655872581	1.0	1
1.0	3204.41455078	3.0	0.0	882.268066406	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.28628704774e-07	1.0	1
1.0	4730.6015625	4.0	3.0	4840.92529297	5.0	4.0	96.4600009918	0.0	-0.00619874475524	0.998390138149	-0.056379865855	27.435752669	30.184212878	-21.1248512268	74.7747497559	-59.5582504272	0.551246536019	2.0	4.88000011444	12.3200001717	1.0	4.88000011444	0.995479164603	1.0	1
1.0	1565.59997559	1.0	1.0	3453.32983398	3.0	1.0	3.25999999046	0.0	-0.00619874475524	0.998390138149	-0.056379865855	3.37918134782	1.01633035592	-21.1248512268	74.7747497559	-59.5582504272	0.551246536019	1.0	9.26000022888	8.03999996185	0.0	9.26000022888	0.153036467155	1.0	1
1.0	117.04599762	1.0	1.0	3076.59277344	2.0	2.0	33.7000007629	2.54321644129	-0.245890572667	0.203296139836	0.947738647461	2.89607695572	21.2751608811	-30.1012001038	86.4619445801	-48.7412490845	0.198690486392	0.0	0.0	0.0	0.0	0.0	0.246203237743	1.0	1
1.0	1682.64599609	2.0	1.0	2555.47607422	2.0	1.0	24.6400003433	2.54321644129	-0.245890572667	0.203296139836	0.947738647461	2.89607695572	3.51343686307	-30.1012001038	86.4619445801	-48.7412490845	0.198690486392	0.0	0.0	0.0	0.0	0.0	0.219187558509	1.0	1
1.0	593.497009277	1.0	0.0	516.116027832	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	8.28628704774e-07	0.0	1
1.0	5768.37841797	5.0	3.0	5026.88818359	6.0	4.0	101.659999371	0.0	0.689931631088	-0.711894989014	0.131148412824	32.4422989742	8.48505373633	-1.95740008354	58.5428504944	-53.8908996582	0.826066662452	7.0	2.48000001907	38.7951993942	1.0	13.9200000763	0.996393663786	1.0	1
1.0	5434.54345703	5.0	4.0	4074.92553711	5.0	2.0	37.1199994087	0.0	0.998985469341	-0.0365974083543	0.0262433495373	10.8738109628	1.20239430605	-3.83718490601	67.4196014404	-64.4931488037	0.472307328149	6.0	2.48000001907	34.1751999855	0.0	15.0399999619	0.990845805034	1.0	1
