valid	volumeS1	connectedComponentsS1	connectedComponentsS1Rel	volumeS2	connectedComponentsS2	connectedComponentsS2Rel	corticalSize	distanceMin	direction_x	direction_y	direction_z	distanceToExtremity1	distanceToExtremity2	gravityCenter_x	gravityCenter_y	gravityCenter_z	corticalDotProduct	junctions	junctionDepthMin	junctionsSize	plisDePassage	plisDePassageDepthMax	Potential	Class	cycle
1.0	333.381011963	1.0	1.0	4265.98876953	1.0	1.0	11.4200000763	4.42372011975	-0.503606557846	-0.407782644033	-0.761638879776	8.81557444085	8.34093200319	-43.9290008545	-20.6690006256	32.5649490356	0.921640729646	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	910.694030762	5.0	3.0	3493.17431641	10.0	1.0	30.4599990845	1.56641949199	0.77142906189	-0.123897768557	-0.624136686325	23.3194041641	4.03082440746	-44.3559989929	-27.6180992126	18.6198997498	0.927390018233	4.0	13.3400001526	17.9748001099	0.0	15.5600004196	0.643949138495	1.0	1
1.0	757.639038086	2.0	1.0	6186.58691406	4.0	1.0	11.4200000763	4.42372011975	-0.503606557846	-0.407782644033	-0.761638879776	8.81557444085	8.34093200319	-43.9290008545	-20.6690006256	32.5649490356	0.921640729646	0.0	0.0	0.0	0.0	0.0	0.19509418785	1.0	1
1.0	1150.3762207	4.0	3.0	4939.12988281	4.0	3.0	83.6599988937	0.0	-0.0584671758115	-0.987321197987	0.147575318813	0.0	27.4990840328	-64.3676986694	-15.6361999512	13.9332504272	0.652598260435	1.0	7.21999979019	5.73999977112	1.0	13.0200004578	0.776189907266	1.0	1
1.0	757.639038086	2.0	0.0	108.103401184	1.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.481181050881	1.0	1
1.0	650.265991211	2.0	1.0	4594.1171875	1.0	1.0	11.3199996948	0.0	-0.791680634022	-0.60919457674	-0.0460836030543	0.0	2.10332057866	-46.7439498901	-25.2594985962	25.2904510498	0.43763403936	1.0	10.9600000381	10.6000003815	0.0	10.9600000381	-1.0	0.0	1
1.0	4793.67871094	8.0	8.0	17336.3554688	13.0	6.0	152.839999676	0.0	-0.105048164725	-0.992555737495	-0.0616279616952	1.82044854751	42.5840959775	-54.6561508179	-26.2154502869	-2.21308517456	0.243636333359	38.0	3.31999993324	299.705600802	16.0	34.8600006104	0.999884098589	1.0	1
1.0	3904.89501953	6.0	3.0	10476.8505859	12.0	4.0	67.2600002289	0.99645421107	0.104947313666	0.992565870285	0.0616367608309	42.6419400713	44.8296291443	-66.8584976196	10.1298398972	34.5139007568	0.972108090736	19.0	6.76000022888	147.590401161	13.0	27.5599994659	0.985660162589	1.0	1
1.0	3383.26000977	6.0	6.0	22642.9257812	11.0	4.0	146.671599686	0.0	0.105048164725	0.992555737495	0.0616279616952	2.06076762981	30.422376078	-54.6561508179	-26.2154502869	-2.21308517456	0.243636333359	23.0	3.31999993324	197.1128009	9.0	19.0599994659	0.999926935957	1.0	1
1.0	2876.7668457	5.0	3.0	8600.34179688	3.0	1.0	63.6999979019	0.0	-0.791680634022	-0.60919457674	-0.0460836030543	23.6820061051	2.10332057866	-46.7439498901	-25.2594985962	25.2904510498	0.43763403936	3.0	7.44000005722	17.8600006104	2.0	13.5200004578	0.962405913296	1.0	1
1.0	3205.35449219	6.0	3.0	12138.140625	3.0	2.0	64.0315979123	0.0	-0.791680634022	-0.60919457674	-0.0460836030543	23.6820061051	2.10332057866	-46.7439498901	-25.2594985962	25.2904510498	0.43763403936	4.0	7.44000005722	27.4600009918	2.0	13.5200004578	0.998952739668	1.0	1
1.0	1870.16833496	3.0	3.0	9712.54785156	5.0	3.0	61.8600006104	2.87829119506	-0.902665376663	-0.0559955835342	0.426684588194	13.8169861234	13.1291905565	-37.4992980957	-28.0334510803	23.4020500183	0.52107893302	0.0	0.0	0.0	0.0	0.0	0.964761815677	1.0	1
1.0	2641.92749023	6.0	6.0	9350.41308594	5.0	3.0	71.6199998856	0.0	-0.995591342449	0.0936340764165	-0.00552677875385	4.09670872467	36.9303243335	-55.4820022583	-18.8442993164	1.87400007248	0.212047323623	7.0	3.31999993324	35.8240003027	5.0	11.8199996948	0.997468692882	1.0	1
1.0	1875.76501465	4.0	3.0	6161.36181641	6.0	2.0	47.279999733	0.0	-0.995600402355	0.0935389325023	-0.00550724426284	0.0	14.947856194	-46.9858016968	-28.1201496124	12.3472995758	0.681103274833	1.0	7.44000005722	3.88000011444	1.0	13.5200004578	0.916842336254	1.0	1
1.0	2319.35058594	4.0	4.0	8332.65234375	6.0	5.0	54.5516012311	0.0	0.995596826077	-0.0935771986842	0.00550629897043	41.3304535994	39.3825264739	-64.6891021729	5.5326499939	32.4346008301	0.373917140284	5.0	6.76000022888	24.5888004191	3.0	11.8199996948	0.992653719274	1.0	1
1.0	986.381958008	2.0	1.0	3885.02294922	1.0	1.0	28.6800012589	3.35608401891	-0.590766906738	0.39742654562	-0.7021728158	8.45437907739	26.8186404087	-66.9342956543	1.41863799095	31.6268005371	0.964815342156	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	3710.88378906	4.0	4.0	19346.8066406	20.0	5.0	173.66000092	0.0	-0.0334177240729	-0.984703600407	0.17100328207	5.68700314469	13.4404052997	-55.7011489868	-22.2631492615	6.57353973389	0.0583775070776	32.0	2.70000004768	300.341600671	10.0	23.3199996948	0.999303952531	1.0	1
1.0	3363.21777344	4.0	3.0	15140.6464844	16.0	3.0	27.9200000763	0.0	-0.0334177240729	-0.984703600407	0.17100328207	11.4284614045	13.4404052997	-55.7011489868	-22.2631492615	6.57353973389	0.0583775070776	17.0	2.70000004768	177.201602459	7.0	31.3199996948	0.983655883325	1.0	1
1.0	1679.80859375	6.0	5.0	11399.2158203	20.0	4.0	49.5400009155	0.0	0.0334227457643	0.984705090523	-0.170993581414	26.7560740342	37.8292651602	-66.0168457031	-0.707704007626	19.3057003021	0.285620969266	14.0	6.51999998093	134.332401037	4.0	13.6199998856	0.994780045478	1.0	1
1.0	1032.59204102	3.0	1.0	941.791015625	3.0	2.0	38.5600013733	2.63792913842	0.188671782613	0.889024674892	-0.417178720236	0.0	36.0913969082	-61.5668487549	7.77669477463	40.396900177	0.666195737395	0.0	0.0	0.0	0.0	0.0	0.341647974	1.0	1
1.0	2381.59204102	5.0	4.0	717.177001953	5.0	2.0	73.4799995422	0.0	-0.999347388744	0.0346350260079	0.0102577246726	19.1758823405	6.54153651564	-42.7926483154	-0.643242001534	40.6429519653	0.742554172663	3.0	6.26000022888	16.8399996758	2.0	8.35999965668	0.983002123771	1.0	1
1.0	996.578979492	2.0	2.0	5090.18505859	3.0	1.0	5.46000015736	3.63231329	-0.853799939156	-0.232383385301	0.465857952833	1.57265732516	0.0	-37.4594993591	-19.9986000061	26.7059001923	0.382037199593	0.0	0.0	0.0	0.0	0.0	0.965215235889	1.0	1
1.0	1103.5880127	3.0	1.0	4338.32275391	2.0	2.0	38.5600013733	2.63792913842	0.188671782613	0.889024674892	-0.417178720236	0.0	3.36339957632	-61.5668487549	7.77669477463	40.396900177	0.666195737395	0.0	0.0	0.0	0.0	0.0	0.415011683348	1.0	1
1.0	1370.01196289	3.0	3.0	3829.15209961	2.0	2.0	33.5599994659	0.0	-0.0334234014153	-0.984704494476	0.170996949077	29.6788232957	26.8132439514	-65.9140472412	1.76500499249	20.6865997314	0.901088477035	2.0	6.65999984741	17.1799998283	2.0	9.5	0.98952929494	1.0	1
1.0	973.624816895	2.0	1.0	3112.90991211	1.0	1.0	21.7199993134	2.79562870154	0.171991124749	-0.471427321434	-0.864971280098	23.6594313534	0.0	-64.1822967529	-9.66937446594	20.1660003662	0.857090253519	0.0	0.0	0.0	0.0	0.0	-1.0	0.0	1
1.0	2567.04150391	5.0	5.0	17434.9101562	14.0	5.0	113.043198608	0.0	-0.0461942739785	-0.993748664856	0.101635321975	1.43317659221	12.5515943577	-54.0427017212	-25.1574497223	-1.50966501236	0.952066002136	8.0	2.24000000954	78.6164003611	4.0	11.9799995422	0.975441734417	1.0	1
1.0	380.506011963	1.0	1.0	7557.94335938	9.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	15.5200004578	0.0	0.0	15.5200004578	0.212903737198	1.0	1
1.0	2848.92480469	5.0	5.0	16479.7949219	13.0	6.0	147.099999189	0.0	-0.0461942739785	-0.993748664856	0.101635321975	1.43317659221	12.5515943577	-54.0427017212	-25.1574497223	-1.50966501236	0.952066002136	10.0	2.24000000954	98.9799987078	4.0	12.5200004578	0.966800887522	1.0	1
1.0	655.564025879	2.0	1.0	3746.97583008	4.0	2.0	42.7600002289	0.0	0.998025536537	-0.0331849865615	0.053326819092	7.58831073642	7.08821212671	-44.8556976318	-12.5939998627	36.5835494995	0.511123906293	1.0	6.40000009537	7.03999996185	0.0	6.40000009537	0.40734341965	1.0	1
1.0	716.752319336	4.0	2.0	1874.72192383	3.0	1.0	35.1000003815	2.58639135152	-0.165351301432	0.816410422325	0.553292810917	15.2810792679	39.6519194912	-72.3635559082	13.2436504364	21.6884994507	0.208422473172	0.0	0.0	0.0	0.0	0.0	0.975441736326	1.0	1
